CRC,DataLength,ErrorPercent,ErrorDetectionRate_%,AverageDelay_ms
CRC8,16,0,0.0000,0.002733
CRC8,16,1,100.0000,0.003725
CRC8,16,10,100.0000,0.004506
CRC8,16,20,99.9756,0.005102
CRC8,16,50,99.2432,0.006274
CRC8,32,0,0.0000,0.005205
CRC8,32,1,100.0000,0.006423
CRC8,32,10,99.2432,0.007025
CRC8,32,20,99.2920,0.007863
CRC8,32,50,99.3164,0.009720
CRC8,64,0,0.0000,0.010173
CRC8,64,1,100.0000,0.011323
CRC8,64,10,99.4385,0.013218
CRC8,64,20,99.8535,0.014310
CRC8,64,50,99.3652,0.017888
CRC8,128,0,0.0000,0.020828
CRC8,128,1,99.9023,0.030113
CRC8,128,10,99.2188,0.025167
CRC8,128,20,99.7070,0.027170
CRC8,128,50,99.4385,0.034201
CRC10,32,0,0.0000,0.005317
CRC10,32,1,100.0000,0.006531
CRC10,32,10,99.8535,0.007484
CRC10,32,20,99.9512,0.008261
CRC10,32,50,99.8779,0.010277
CRC10,64,0,0.0000,0.010531
CRC10,64,1,100.0000,0.011764
CRC10,64,10,99.8779,0.013443
CRC10,64,20,100.0000,0.014657
CRC10,64,50,99.9756,0.018333
CRC10,128,0,0.0000,0.020630
CRC10,128,1,100.0000,0.022356
CRC10,128,10,99.7559,0.025704
CRC10,128,20,99.8779,0.027504
CRC10,128,50,100.0000,0.035035
CRC10,256,0,0.0000,0.042156
CRC10,256,1,100.0000,0.043990
CRC10,256,10,100.0000,0.050136
CRC10,256,20,99.7559,0.055753
CRC10,256,50,99.9756,0.068777
CRC16,32,0,0.0000,0.005846
CRC16,32,1,100.0000,0.007053
CRC16,32,10,100.0000,0.008265
CRC16,32,20,100.0000,0.009147
CRC16,32,50,100.0000,0.011519
CRC16,64,0,0.0000,0.011066
CRC16,64,1,100.0000,0.012373
CRC16,64,10,100.0000,0.014271
CRC16,64,20,100.0000,0.015813
CRC16,64,50,100.0000,0.020011
CRC16,128,0,0.0000,0.021792
CRC16,128,1,100.0000,0.023232
CRC16,128,10,100.0000,0.027196
CRC16,128,20,100.0000,0.029301
CRC16,128,50,100.0000,0.039567
CRC16,256,0,0.0000,0.043856
CRC16,256,1,100.0000,0.046016
CRC16,256,10,100.0000,0.052360
CRC16,256,20,100.0000,0.056231
CRC16,256,50,100.0000,0.072130
CRC32,64,0,0.0000,0.012996
CRC32,64,1,100.0000,0.026525
CRC32,64,10,100.0000,0.016644
CRC32,64,20,100.0000,0.018986
CRC32,64,50,100.0000,0.023674
CRC32,128,0,0.0000,0.022161
CRC32,128,1,100.0000,0.025547
CRC32,128,10,100.0000,0.030325
CRC32,128,20,100.0000,0.033185
CRC32,128,50,100.0000,0.040303
CRC32,256,0,0.0000,0.056077
CRC32,256,1,100.0000,0.048412
CRC32,256,10,100.0000,0.054587
CRC32,256,20,100.0000,0.061878
CRC32,256,50,100.0000,0.075593
CRC32,512,0,0.0000,0.092800
CRC32,512,1,100.0000,0.100406
CRC32,512,10,100.0000,0.113731
CRC32,512,20,100.0000,0.134432
CRC32,512,50,100.0000,0.164733
